Student.num,Sibling.num,Father.num,Mother.num,Other.num,Student.inf,Sibling.inf,Father.inf,Mother.inf,Other.inf,Frequency
1,2,1,0,3,0,0,0,0,1,1
1,2,1,1,0,0,0,0,0,0,1099
1,2,1,1,0,0,0,0,0,1,1
1,2,1,1,0,0,0,0,1,0,24
1,2,1,1,0,0,0,1,0,0,23
1,2,1,1,0,0,0,1,1,0,3
1,2,1,1,0,0,1,0,0,0,279
1,2,1,1,0,0,1,0,1,0,23
1,2,1,1,0,0,1,1,0,0,23
1,2,1,1,0,0,1,1,1,0,16
1,2,1,1,0,0,2,0,0,0,35
1,2,1,1,0,0,2,0,0,1,1
1,2,1,1,0,0,2,0,1,0,9
1,2,1,1,0,0,2,1,0,0,7
1,2,1,1,0,0,2,1,1,0,5
1,2,1,1,0,1,0,0,0,0,164
1,2,1,1,0,1,0,0,1,0,13
1,2,1,1,0,1,0,1,0,0,12
1,2,1,1,0,1,0,1,1,0,5
1,2,1,1,0,1,1,0,0,0,100
1,2,1,1,0,1,1,0,1,0,27
1,2,1,1,0,1,1,0,1,3,1
1,2,1,1,0,1,1,1,0,0,16
1,2,1,1,0,1,1,1,1,0,17
1,2,1,1,0,1,2,0,0,0,37
1,2,1,1,0,1,2,0,1,0,14
1,2,1,1,0,1,2,1,0,0,7
1,2,1,1,0,1,2,1,1,0,10
1,2,1,1,1,0,0,0,0,0,132
1,2,1,1,1,0,0,0,0,1,3
1,2,1,1,1,0,0,1,0,0,5
1,2,1,1,1,0,1,0,0,0,26
1,2,1,1,1,0,1,0,0,1,1
1,2,1,1,1,0,1,0,1,0,6
1,2,1,1,1,0,1,1,0,0,2
1,2,1,1,1,0,2,0,0,0,2
1,2,1,1,1,0,2,0,1,0,2
1,2,1,1,1,0,2,1,0,0,1
1,2,1,1,1,1,0,0,0,0,15
1,2,1,1,1,1,0,0,0,1,1
1,2,1,1,1,1,0,0,1,0,1
1,2,1,1,1,1,0,0,1,1,1
1,2,1,1,1,1,0,1,0,0,3
1,2,1,1,1,1,1,0,0,0,12
1,2,1,1,1,1,1,0,0,1,3
1,2,1,1,1,1,1,0,1,0,3
1,2,1,1,1,1,1,1,0,0,1
1,2,1,1,1,1,1,1,1,0,1
1,2,1,1,1,1,1,1,1,1,2
1,2,1,1,1,1,2,0,0,0,2
1,2,1,1,1,1,2,0,0,1,1
1,2,1,1,1,1,2,1,0,0,1
1,2,1,1,1,1,2,1,0,1,1
1,2,1,1,1,1,2,1,1,0,3
1,2,1,1,1,1,2,1,1,1,1
1,2,1,1,2,0,0,0,0,0,157
1,2,1,1,2,0,0,0,0,1,2
1,2,1,1,2,0,0,0,0,2,2
1,2,1,1,2,0,0,0,1,0,6
1,2,1,1,2,0,0,0,1,2,2
1,2,1,1,2,0,0,1,0,0,3
